place_id,review_id_hash,rating,published_at_date,english_review,sentiment,label
ChIJd3Skzx-NaC4RKz2O9Srs2ic,8037aafc5f90d46fbf22d5cd4c860501,5,2023-07-11,This is the third time visiting this cafe. The coffee is delicious. Other food is ok. The price is standard. The place is small but the view during the day is good. Recommended.,1,1.0
ChIJTXjLl8_6aS4RibfbpvTptUo,7e038fa2755b94dc7dafed9994370ccd,5,2021-05-14,The uduk rice and ginger tea are patent,1,0.0
ChIJ37T5Jir3aS4RL06JtqAPres,dbf1a3f3cc02df3e4695f7b48c922ef1,5,2024-01-10,"Found a replacement from the next brand to open the laptop. Good coffee! I love love love Butterscotch Sea Salt Latte, less sweet, add Sea Salt Cream. Order using the app with frequent promotions! Nice ambience! AC is ok, lots of plugs, quite enough. There are toilets",1,1.0
ChIJ2aArJ1DzaS4RMiXl4LEZnzI,52327caa0fd9c9decf20eb8744eab135,5,2022-05-13,Nice !!!!!!!!!! I recommend it,1,0.0
ChIJE0PsbmuLaS4RUN1rpfXfrp4,43f63a72ee9399398a20b1123fac82a5,4,2023-05-10,Foodcourt Green Sedayu Bizpark,1,0.0
ChIJDQ7yaKLzaS4R5Rslw79yNjE,d4a9238f5c8be3a0abb1823688fb4296,5,2024-04-13,The duck is tender. Enk steady. Only the prayer room is small,1,1.0
ChIJKQ4LTVf3aS4R23TMWSTRR-0,1382cdf8f68a7b87f87543d4b82c3fd3,5,2024-04-10,"This is great, the service is friendly and fulfills the customers requests, the place is also really cozy, especially during the busy season, but the waiter is cool, he can handle it and is on time",1,1.0
ChIJV5pC8mpXei4RUvkUO1Zv6FI,765331ea6a356ed90bc59c2d05b557b6,5,2023-05-14,"Its a cool place to hang out... to share with friends, the community and business colleagues...",1,0.0
ChIJB-itThT5aS4RbSbijFyWi1s,63a2016965524bc3df739aeb45f8d7e7,5,2022-05-10,Fresh drinks,1,0.0
ChIJo4F7sbP1aS4RzalVUE7LOEI,ff26a789be8e92c7383e4be2f0783209,5,2023-05-10,"The baristas are friendly, and the coffee is the best",1,0.0
ChIJH8Ot7yoFai4Rcn7mhKI7ICo,13d52602df0aa33f46eb0996c279d55e,5,2023-05-10,"The apple crumble is really recommended, the Indomie is also a must try",1,0.0
ChIJTxScX2n1aS4RFtB6LddRf1s,f792884f150d3a8c680ba4e5d73c2a49,5,2024-04-10,Best drink in Jakarta,1,0.0
ChIJSVKmhi7laS4RZ4Olp-HvAyw,2a6b590e30f0515828aac40068ab170d,5,2022-05-14,"The pieces are big, great. One of the delicious goat satay in Jakarta Serpong",1,0.0
ChIJ4wIx4f191y0RY9OfOkUiHpU,a8c3ff70fc8a38a629959a250fc0c90a,5,2024-04-14,"If you come here, always buy your drinks at Indomaret Point. If the promo is good, the service is okay. Excellent",1,1.0
ChIJg7YV95UVQi4R8543YuJ5Y1c,56e2b1c5ff23720110943ebe8ff1a9e2,5,2020-05-10,Opposite the Jampang Medika clinic,1,0.0
ChIJwUrHcDoo1i0RnGGPqOhj8nU,380dd14012abbb89f0b8682876fb789d,5,2023-10-12,"Bebek Gong CBK which is located on Jl. Dr. Sutomo Malang is an ideal place for lunch and dinner. Its strategic location in the middle of Malang city but not too noisy with public transportation adds to the natural atmosphere. The food is relatively delicious at relatively cheap prices and affordable for all groups. Please try it, you will definitely regret it because you will definitely want to come back again another time.",1,0.0
ChIJ17i0W1oA2C0R3uxxJSl4u_Q,140864787cfa0816d0db87d50419681d,4,2022-05-14,Old subscription,1,0.0
ChIJTTMauBTkaC4RvC3Xpku1xtA,0274cf2f34fc7ece9c85cccb36b866b5,5,2022-05-15,Comfortable,1,0.0
ChIJdaslHUH3aS4R0FgDjOiZe9k,f52b4ba20779572be74498b0d16986a4,5,2023-05-13,Joz tempat rapi bersih,1,0.0
ChIJm-OvnOL1aS4Rh00iBaWtVwI,6d601b900ffc62abb71a6f3341682adc,5,2024-05-03,"The food is delicious and really tastes like China, because many of the customers are Chinese, and the restaurant owner is still Chinese. Suitable for eating with family The portion is big for sharing But because Sichuan food is mostly spicy",1,0.0
ChIJ5ZdC1s2LeS4RD1AkDCrUi-c,aaabfc1bad70875bbf89dc76a330a20e,4,2024-02-11,"Delicious food, fast serving, view in front of the restaurant on the main road, view in front of the restaurant of rice fields & mountains, cool air... looks like there has been a price increase from last year",1,0.0
ChIJ2XAqQJz7aS4RQcy4BIor8LA,7825770154c50c769822a6d42bc3433c,5,2022-05-14,"A very cozy place..the drinks are also highly recommended and affordable...in this place you can also have your nails done, and of course its done by professional and good workers..the service is also very satisfying..top",1,0.0
ChIJd7UPhEAkcC4RDGM5UFBxee0,0ea97bd3481cb05481a1b7434010d7a9,5,2024-04-11,"If you want to enjoy typical Pekalongan soto, this is the place There is a choice of chicken or beef soup, typical with rauco. For those who dont like it, you can order it without tauco. Offal fans can add tripe to the beef option. You can choose to eat it with lontong or rice. At 35K per portion, its quite filling. Location close to Setono batik market (across from Mako Brimob)",1,0.0
ChIJI2Ht3XX1aS4R0fSUffssbBA,7e752e9e170b71c1d89989b4c4ee16f9,5,2024-03-10,My suggestion is maybe it could be improved for some of the appearance & cleanliness of the table,1,1.0
ChIJoUB4FUEjQi4RHQSRH8sacZQ,0c06eccad858b28b50a2a1f72f2379d5,5,2023-06-14,Are there lockers?,1,0.0
ChIJSfQUcQKfeC4RM4sJnHMCK28,eb90dfb5ebb173510f9b5642f02ef7b8,4,2023-05-14,"Pak Najibs coffee shop is at the Sukun Kepanjen intersection, right at the corner of the intersection. Pak Najibs coffee shop is a pretty comfortable place to hang out Provides a variety of coffee drinks and various fried snacks such as weci, fried bananas, tempe menjes and others.u There is also a ready-to-eat food menu that tastes quite good in its class, such as rawon",1,0.0
ChIJGwUtAmXtaS4ROC7ZYY19Hd4,d815efa1dadec8577ca9630f70cfac99,5,2021-05-13,"The coffee is really delicious, many people like the coffee, but also people really like the coffee collection, the coffee is also very delicious for me.",1,0.0
ChIJU04kaH_zaS4RKcxcGEF5rwM,e559dd64c44ff7e0aac66fc42c7583a3,5,2023-08-13,Cerita dulu.....,1,1.0
