place_id,review_id_hash,rating,published_at_date,english_review,sentiment,label
ChIJR3sxoutfby4RlXUVW-62TeY,cb7aca7f55cb979b6ff58d14a6ff08ff,5,2023-05-11,"If you want something fresh at night, go to Bee Bee Thai Tea. Order mango yakult + jelly. Aseli is fresh. Closes at 9 pm, guys. Service is quite fast.",1,0.0
ChIJ--5roh-_eS4REZMRXIc3Tcw,405d8d23008c2cf034f6bd1d193153ca,5,2024-04-23,"Its really delicious I swear! Basically, I already like Korean things, hehe, and in addition, everything I ordered tasted delicious, nothing failed. Really, the place is comfortable and the service is really friendly. This is the first time Ive tried it and its genuine and Im addicted and will keep coming back. Recommend if youre looking for a place to eat + snack + chat with your loved ones. Pls dont want to know if you have to develop + keep moving forward, this is a place to eat like this. Always successful, sis. Thank you",1,1.0
ChIJg3rdvRW7by4R18RtLrySFmE,ff3b67c5196933f3354b642864de2487,5,2024-03-14,The place is tiny but super duperrrrr comfortablennnnnn the facilities provide mosquitoes to keep me company as Im single heuheu,1,1.0
ChIJyV6VMPL1aS4Rke_wQr9UWng,2d26a415753a76f3c66c689ddf8d7be5,5,2022-05-10,Really good,1,0.0
ChIJxRS-3NxheS4RjMZKLSWpU3Y,d2e3fbcd0b1c5d62d269acdff17174d2,4,2021-05-12,Classic theme but contemporary food menu,1,1.0
ChIJ0xee69fvaS4RLcBBvQGvBro,fa64faab883b0376197d2d047daebc89,5,2024-05-08,Suitable for casual chatting.,1,0.0
ChIJRZXgvbYXby4R3WKdgr-1aAc,d1207cdbc4ed469d7050ff5179c7f4b7,5,2024-04-11,"Spacious place, lots of seating areas that are suitable for gathering. The toilets and prayer room are super clean and well maintained. Service is good and friendly. Prices are quite affordable. There are electrical sockets at several seating spots. In my personal opinion, the taste of black coffee is so so, for lovers of black coffee without sugar, the choice of coffee beans is not right. Other menus are quite delicious.",1,1.0
ChIJl0P5n9bc1i0Rek0jOvQfCPM,619c5b8d95fe248e4f3be21c3a15a8ec,5,2023-06-14,"The place is pretty good, the food is pretty good too",1,0.0
ChIJo5WJg7NZei4R6mZXBfFW9WY,3e136312a6870eb95c4027cb072c67f8,5,2024-05-10,"The noodles arent the tastiest, BUT the system for buying noodles and toppings is fun because you can pick it up yourself, be careful not to worry, the location is also okay, bright, clean, not too busy. Great. Ill come here again, I think its more exciting in the afternoon than at night because the trains are more visible",1,1.0
ChIJc2L8-j2pei4RlYN48n4UDJQ,7784bb7426dc770baa8419e2a861970d,5,2024-01-14,The food is all delicious,1,0.0
ChIJ4WXZc-j3aS4RGArAqsGjqWg,d8e7d996e622bb24c6868bba3bf1720c,5,2024-02-10,"The coffee is delicious, the service is friendly. Recommended for coffee here.",1,0.0
ChIJ1w1C-orR1y0RDynLwCG1nvw,069a00a19c48695048ebf548ca846d76,5,2020-05-14,Complete with various foods & cold drinks,1,0.0
ChIJlVVNVGX1aS4Rj5mPyJMNfNQ,89f5b552c55fc3c62b64c1fe8efc703f,5,2024-03-10,"lots of delicious food here, really recommend it, next time Ill come back with my friends",1,0.0
ChIJyzeFPo31aS4R58QDuwFpvMc,3d006de2ed9c636775de7ea14d321363,5,2023-12-13,Awesome,1,0.0
ChIJk1pIxeXxaS4R_xmO0hLNNHE,1be2b35a8e784fdccb2eb03541498d8c,5,2023-05-13,Yummy food and lovely service. Although half of the menu is out of stock,1,1.0
ChIJvV3HToANeC4RaEkHQg0jlo8,b16f53278e7d10c1b2ae9b6e8499e8b6,5,2024-04-14,Joss,1,1.0
ChIJ_e7ujgb6aS4R2MFZay6b0dI,8c4e251663bbd05d349ac23cf40effc3,5,2023-05-10,The cheese cake and mac n cheese are addicting,1,0.0
ChIJU_bwQL9nei4RdD4DlC0OHBc,5d7541c9c6ff8d3b721217b0b27b90df,5,2023-05-12,"Suitable for relaxing in real nature, charmingly cool on the slopes of Merapi Parking: Spacious and very comfortable Kid-friendliness: Several educational games for children in socializing activities with their community",1,0.0
ChIJq_JUWqbxaS4RU38wowQuzT0,895c701ae5b27b94159ae4e08d91c130,5,2023-05-13,chill place,1,0.0
ChIJ1SzGDi-HeC4Rn8cxJwyktjc,23f235f410ac82c82a20a0ea8849425b,5,2022-05-12,"The most complete Frozen Fish in Batu, the price is ok  ... recommended",1,1.0
ChIJe5LvrsZZei4RnzOlAxUEjQE,f2d9993e0d0ba58ae3509dad74ca8a76,5,2024-03-12,"The most comfortable coffee place, also good for taking photos. Location in the middle of the city, the coffee is delicious and there is a new ramen menu. Very cozy for doing homework or hanging out. Its cold indoors and not hot outdoors. The building is attached to the Ekon Hotel, so for those on holiday in Jogja looking for a place to drink coffee and accommodation, just come here. The location is very close to Tugu station. Parking for cars and motorbikes is spacious, although not very large. The baristas are friendly",1,1.0
ChIJG1qi8Qgp1i0RzeaexB9qKlg,847139dac56f1b235a6bb33c39ebf788,4,2024-03-14,overall? ya biasa aja,1,1.0
ChIJL9ek9e3teC4Rg5wDWSuB4lc,6c29d18edcd87da615fe0f15dc3e8f1d,5,2023-07-14,"it tastes good polll, served quickly, the place is also interesting for photos..",1,1.0
ChIJW3wU3reMaS4RdfNjfLei_tw,b023ba4e53090dbd61822f5b97cc7a2c,5,2024-03-10,"Good taste of food, great ambience. But the service took long time. Kinda pricey dishes.",1,1.0
ChIJyaSrFFKgei4Rtx3l7QmubM8,2c530764084e9476979d04b2d0f51009,5,2022-05-14,Its okay to increase your experience regarding taste. Just try it,1,1.0
ChIJiXya0PrtaS4RSRL2OJroXwk,fbaed2139705083f379dee51c861af7e,5,2023-12-10,"The meatballs are delicious, delicious",1,0.0
ChIJwXBeZrHLei4RmZqR1P43qWY,f5efe4b5261bb767491557688d7d0e70,5,2023-05-14,"Clean, comfortable, obviously friendly prices and really worth it",1,0.0
ChIJh1ek9mX71y0Rlp-nUMSlCcw,04981e6f89035f29454bf61a1f56e7ae,5,2024-04-21,"The food is delicious, the chef is humble, lots of promotions, unique views, friendly service,",1,0.0
ChIJAT80po751y0RH-4f38HPnKY,5a2f4f2210687a730bd545076701c749,5,2023-11-12,I really like the server who explains in detail and is always friendly. The food is also delicious,1,0.0
ChIJayQdW5f1aS4RsEkeBX9kSEo,ad3b8f3d6dc44751cbb0165bac287f1e,5,2023-08-10,"Kane is great for hanging out, the price is worth it, the place is clean",1,0.0
ChIJQwG9ETpYei4RvDx2vrQPksk,0d4e0273bb4a7cfee4e02df793616afc,4,2023-10-14,The chicken is delicious and I really like the rice hehe,1,1.0
ChIJC63AWy6NaS4Rre_IuNnMIg8,846217b3c0321b551abc70bb4ff63e2e,5,2023-11-15,comfortable,1,0.0
ChIJCbBSR8KH1y0R-ytC0yyHaAw,f5845255d06334a3a0373264ef2445ee,5,2024-02-14,"The coffee is delicious, the waiters are friendly, the place is comfortable, the food is also delicious",1,0.0
ChIJ1RthfNPsaS4RIskOwKav9bc,e7048bc26ed25fc3facc42bd041e14f7,5,2023-05-10,The chicken porridge and black sticky rice...delicious... Open 24 hours,1,0.0
ChIJhU8odqblaS4Rkuc2WDBRQgs,977242d30bbe953047036ea748a30b35,5,2023-11-10,"The mayo rissol is delicious, why dont you include Gofood or Grabfood so its easy to order",1,1.0
